"","x"
"1",-1.83354919161873
"2",-1.91818235958502
"3",-0.305914456631601
"4",-2.12096253446696
"5",0.13938959099206
"6",-1.73745433817505
"7",-1.78777366436841
"8",-1.85630654668461
"9",-2.41961032151206
"10",-1.66233175801014
"11",-0.621737004017287
"12",-1.05168913543264
"13",-0.736949279445717
"14",-0.508666668562085
"15",-2.33203924984712
"16",-1.71217699394844
"17",-1.71901751512153
"18",-2.01888384953974
"19",-1.89721518348092
"20",-1.71113324107909
"21",-1.90305695640519
"22",-1.69214706203141
"23",-2.46516576576376
"24",-1.63734178948824
"25",-1.10059005767643
"26",-1.92291651165241
"27",-0.450418553252998
"28",-1.99790494393216
"29",-0.340404798534676
"30",-1.85093520880625
"31",-1.83753184076575
"32",-1.80018466438156
"33",-1.92728116759948
"34",-1.99171198551394
"35",-0.0629853224372441
"36",-1.64742829217098
"37",-0.525533456749246
"38",-1.7403023436208
"39",-1.96947135206445
"40",-1.89366710887015
"41",-1.73244954297784
"42",-1.76294086340709
"43",-1.39755489803035
"44",-2.31621426045906
"45",-2.07575634723812
"46",-1.59096542243133
"47",-1.62674635762
"48",-1.93560097770644
"49",-1.80448649682618
"50",-1.44913421001994
"51",-0.660105429342231
"52",-0.618294665264992
"53",-0.511403603820378
"54",2.31199192660043
"55",-0.497264403459462
"56",-1.87316495348822
"57",-1.93407787829746
"58",-1.1465557152512
"59",-0.54256631953517
"60",-2.41615588804862
"61",-1.66600689199733
"62",-1.84935994782913
"63",-2.20288794349793
"64",-2.04251469952295
"65",-0.832593665333349
"66",-2.84066677471862
"67",1.48441991747758
"68",-0.930788979235318
"69",-1.38959915168875
"70",-0.602689106632951
"71",-1.87160485311457
"72",-1.369641771882
"73",0.431484580634527
"74",-1.61091804750953
"75",0.614391140369998
"76",-1.42790477584209
"77",-0.0933897032173581
"78",-2.45148040724356
"79",0.0591379991979455
"80",-1.88145279413359
"81",-1.65842761796438
"82",-1.89655193387572
"83",-2.609004773272
"84",-0.967875664069126
"85",-1.57871458447759
"86",0.635462523662852
"87",-1.99463463473525
"88",-2.77133907386539
"89",-1.64920872443859
"90",-1.83319795412896
"91",0.893101030108868
"92",0.621942947352537
"93",-1.93341164227937
"94",-1.72497416198165
"95",-4.72916855810928
"96",-2.02666637137365
"97",-1.41489175542217
"98",-1.72608119859967
"99",-2.01987589491026
"100",-1.70413988886881
"101",-1.90328118829583
"102",-2.21356568743736
"103",-2.28793884478376
"104",-2.62491707808862
"105",-1.58570760029614
"106",-2.193281540827
"107",-2.15144699979494
"108",-1.86675570959534
"109",-0.847427751016459
"110",-1.79853992806993
"111",-2.11570120213739
"112",-2.21514264678695
"113",-1.49667554385186
"114",-0.345240615917191
"115",-1.83514605891352
"116",-1.78482931016245
"117",-2.2103981793898
"118",-0.608602285159282
"119",-1.36223327433517
"120",0.157488973311951
"121",-1.84473105195665
"122",-1.63311209354621
"123",-2.34867683732323
"124",-0.601380386796206
"125",-1.8452977846974
"126",-0.949607814023796
"127",-1.81705715960601
"128",-2.16582159461729
"129",-1.99563822855598
"130",-1.93091345227727
"131",-1.54127973033453
"132",0.158274823721387
"133",-1.41419634147
"134",-2.22247833849819
"135",-0.631414926856714
"136",-1.88999769079898
"137",-2.56358787210498
"138",-1.40130259786271
"139",-0.693007306240844
"140",-1.07711232847754
"141",-1.01654913295771
"142",-1.72768401429524
"143",-0.35228019206983
"144",-1.71341571488976
"145",-1.72334761045732
"146",-1.87482535529081
"147",-1.65039284556886
"148",-1.82858737551725
"149",0.0325535245883214
"150",-2.51832268433441
"151",-1.77402854243557
"152",-1.63921172252996
"153",-1.89306912407913
"154",-1.11906668668842
"155",-1.78965252293599
"156",0.109231989029969
"157",-1.69614233375508
"158",-1.80418723809568
"159",1.49694104467417
"160",-1.91879460241258
"161",-2.0276732480321
"162",-0.110121937327083
"163",-3.34086488270442
"164",-1.56004092200556
"165",-1.5369646324337
"166",-2.24729968310186
"167",0.132870479887926
"168",-1.91937984748698
"169",-2.26822752965193
"170",-1.58466138693314
"171",-2.03140047565495
"172",-2.12681391490158
"173",0.437295334187022
"174",0.00847952818086223
"175",-2.95652164857321
"176",-2.11184717557794
"177",-1.93708308883531
"178",-1.38184783311576
"179",-1.75395109941641
"180",-1.30494120932558
"181",-2.27299602492844
"182",0.349999499572185
"183",-1.98843898997573
"184",1.713848928885
"185",-1.95233485331679
"186",-1.35175461858833
"187",-3.3919373596511
"188",-0.302173893948408
"189",-1.50813588292575
"190",-1.85757596033945
"191",-0.374413646197688
"192",-1.62911016339741
"193",0.314633771602658
"194",-1.98463850529016
"195",-1.84632318893254
"196",3.2840491122421
"197",-1.50972514203679
"198",-1.81265394977102
"199",0.0641559012154806
"200",-1.34358548210644
"201",-1.82180630153534
"202",-0.415958449549091
"203",-1.93622492399563
"204",-1.8233062803664
"205",-0.302931384325067
"206",-1.6571259657593
"207",-1.8136791819556
"208",-0.71789583923473
"209",-1.75874681829922
"210",-0.281378185847435
"211",-1.67209270117328
"212",-0.291402720398635
"213",-1.63239769186921
"214",-1.28026850440482
"215",-1.64725323885029
"216",-1.62330680938326
"217",-1.47609605714072
"218",-1.90801168765773
"219",-2.39591367612963
"220",1.03638841011883
"221",0.625268332425734
"222",-1.83695217283539
"223",-0.0725964008906848
"224",-2.03269240051461
"225",-1.44233514673284
"226",-1.69360408870597
"227",-0.779232167861309
"228",-1.7420260517619
"229",-1.78203493244858
"230",-1.93461912964753
"231",-1.93009545301992
"232",-1.42475255000549
"233",-1.45671594625138
"234",-1.59884928737714
"235",-0.730703261929051
"236",-0.57271357204179
"237",-0.311523769232453
"238",0.264950023246286
"239",-2.12830518846665
"240",-0.809637564703449
"241",-1.71931777724184
"242",-1.55993626010924
"243",-0.109898545014335
"244",-2.0016665968328
"245",-1.96329784944841
"246",-2.19049315720638
"247",-0.405875871066854
"248",-1.90371030659676
"249",-1.63383947003683
"250",-2.48641316714139
"251",-1.51405698323501
"252",-1.76650083511915
"253",-0.296655468071592
"254",-0.176103377532577
"255",-1.61547959020449
"256",-1.71375111942581
"257",-1.73020780360281
"258",-2.07516924726282
"259",-0.315548492593075
"260",-1.79048117687141
"261",-1.94715751616774
"262",-1.26503765646432
"263",-1.66192309930606
"264",-2.30587002882299
"265",-1.62469252833465
"266",-1.72527053226024
"267",-1.16695701552846
"268",-2.39711779607921
"269",-0.620692113643729
"270",-1.76572157690221
"271",-0.432588738092591
"272",-1.44884919859373
"273",-2.39688777926392
"274",-2.27601005162581
"275",-0.559318951700325
"276",-2.73225942885635
"277",-1.6927353130673
"278",-1.89528469439976
"279",-1.6645464032185
"280",-5.27048527151562
"281",-1.07889717123757
"282",2.72087916311849
"283",0.428174740163632
"284",-2.05560248251839
"285",-1.89727390164681
"286",-1.41138308342146
"287",-2.11404673898975
"288",-1.79286769560859
"289",-1.62529952031859
"290",-0.789303670590147
"291",0.337360793908742
"292",-1.08923417852787
"293",-1.5988718420055
"294",-1.56084846970608
"295",-2.25469485755111
"296",-1.75862619384889
"297",-2.08474093972245
"298",-2.13554366740029
"299",-0.633604677798187
"300",-1.65232644991447
"301",-1.45057611549023
"302",-1.75606122882964
"303",0.298352908348026
"304",-0.786073211857605
"305",-0.624628860894606
"306",-1.03269908080529
"307",-0.0256588038290724
"308",-0.462417698902149
"309",-0.888092235295669
"310",-1.52030480597858
"311",-2.04888765195683
"312",-1.89579201397821
"313",-0.294314305306276
"314",-1.69541499097541
"315",-1.90483290744295
"316",-1.4064447162096
"317",-1.76687073209186
"318",-2.35088683232916
"319",-1.58588326667501
"320",-1.76383756298111
"321",-1.9885400478032
"322",-1.80895558412132
"323",-1.58746758049988
"324",-2.02068355225472
"325",-2.20310860137026
"326",-1.87906711518134
"327",0.612137995112063
"328",-1.98002282387713
"329",-1.77077779147242
"330",-1.40609001555708
"331",0.167864134435146
"332",-1.5814069092785
"333",-1.84242712442042
"334",-1.4617310454669
"335",-2.78076542385756
"336",-1.65977641785595
"337",0.341333629606728
"338",-1.3555932630969
"339",-1.4412169344274
"340",0.803296801494104
"341",-1.68917392174109
"342",-1.42718226134207
"343",-2.23946720504986
"344",-1.69561759325712
"345",-0.965707189928528
"346",-2.48114887356727
"347",-1.90833426112332
"348",0.321930695050343
"349",-1.39315507536602
"350",-2.11060068047955
"351",-1.56464790623427
"352",-1.81903899217593
"353",-2.03518799508135
"354",-1.78826377857341
"355",-0.244133091008804
"356",-2.2623420990956
"357",-0.184929516925092
"358",0.452084428111798
"359",-1.94801650365257
"360",-1.87239109036856
"361",-1.5749864779362
"362",-1.60925264934874
"363",-2.35905091683678
"364",-0.0259688513502246
"365",-1.95788478488661
"366",-1.87132687327438
"367",-1.52593146775824
"368",-1.55821987709756
"369",-1.13085780220397
"370",-1.92775889989683
"371",-0.536525243494772
"372",-1.83445767305199
"373",-2.0893122249919
"374",-1.54626436498226
"375",-2.25426700424888
"376",-1.57704573348578
"377",-0.375838189631216
"378",-1.97483024601458
"379",-2.0549684563534
"380",-1.87995973259652
"381",-1.79612345557092
"382",-1.74846916538825
"383",-1.72397399990702
"384",-0.305416854433277
"385",-1.61801523334245
"386",-1.97142312240022
"387",0.212478842771388
"388",-2.44943627294091
"389",-1.04188128381584
"390",-1.4020226422624
